from_place,Destination,Travel_Mode,Accommodation_Type,Food_Preference,Activity,Purpose,Travel_Duration_Days,Season,Month,Group_Size,Distance_in_km,Specific_Interests,Discounts_Offers,Destination_Popularity,Cost_Transportation,Cost_Accommodation,Cost_Food,Cost_Activities,Age_Group,Income_Level,Budget
Bangalore,Kerala,Flight,Homestay,Non-Vegetarian,Trekking,Work,14,Winter,April,3,2040,Wildlife,Hotel Membership,Medium,3762,1158,3065,4533,Youth,High,11717
Delhi,Jaipur,Flight,Resort,Vegetarian,Sightseeing,Leisure,6,Autumn,May,3,600,Religious Sites,None,Low,10938,3686,2798,2793,Senior,Low,20247
Bangalore,Bangalore,Flight,Hostel,Budget Meals,Trekking,Adventure,12,Monsoon,December,6,363,Wildlife,Airline Miles,Low,5269,18808,4921,8234,Senior,Low,23231
Delhi,Rajasthan,Car,Homestay,Local Cuisine,Trekking,Work,15,Monsoon,July,2,2465,Religious Sites,None,High,14893,6434,4711,2799,Adult,Low,27059
Bangalore,Kerala,Car,Hotel,Local Cuisine,Shopping,Pilgrimage,15,Summer,October,5,2750,Adventure Sports,None,Medium,4834,2402,2193,8985,Adult,Middle,7847
Kolkata,Varanasi,Flight,Resort,Vegetarian,Relaxation,Pilgrimage,13,Autumn,August,1,213,Shopping,Airline Miles,Low,7201,12970,1137,8965,Adult,Middle,45535
Bangalore,Bangalore,Train,Hotel,Vegetarian,Trekking,Pilgrimage,4,Summer,September,4,1495,Religious Sites,Travel Discounts,High,2263,17860,2800,3965,Youth,Low,20256
Kolkata,Kolkata,Bus,Resort,Local Cuisine,Trekking,Pilgrimage,8,Summer,June,5,2988,Religious Sites,Travel Discounts,Low,3641,14464,683,4492,Youth,Low,18730
Mumbai,Mumbai,Flight,Hostel,Non-Vegetarian,Trekking,Adventure,9,Summer,March,6,2149,Historical Sites,None,Low,11842,10288,1202,4048,Adult,High,22691
Delhi,Jaipur,Train,Homestay,Vegetarian,Trekking,Leisure,15,Autumn,August,2,948,Wildlife,Travel Discounts,Low,2127,8530,3598,6815,Youth,Low,25673
Mumbai,Mumbai,Flight,Hostel,Local Cuisine,Trekking,Adventure,9,Winter,April,5,2115,Wildlife,None,Medium,11803,5270,4917,519,Senior,High,47129
Delhi,Rajasthan,Bus,Hostel,Non-Vegetarian,Relaxation,Pilgrimage,14,Autumn,September,4,1567,Beaches,Travel Discounts,Medium,8817,8618,1186,5141,Senior,High,43311
Bangalore,Bangalore,Car,Homestay,Non-Vegetarian,Trekking,Adventure,4,Autumn,May,2,72,Wildlife,Hotel Membership,Medium,2746,6071,3990,4655,Adult,High,8087
Delhi,Rajasthan,Train,Resort,Vegetarian,Cultural Events,Adventure,12,Autumn,October,3,2556,Beaches,Travel Discounts,Medium,10464,12283,3761,2762,Senior,Low,35674
Mumbai,Mumbai,Flight,Hotel,Local Cuisine,Shopping,Leisure,7,Summer,August,6,712,Wildlife,Airline Miles,Low,1086,3984,1690,8227,Senior,Middle,33492
Kolkata,Varanasi,Flight,Homestay,Non-Vegetarian,Relaxation,Leisure,13,Winter,February,3,958,Wildlife,None,Low,9099,15384,587,3804,Senior,High,24558
Delhi,Jaipur,Train,Hostel,Local Cuisine,Trekking,Leisure,12,Monsoon,April,1,2505,Shopping,Airline Miles,Medium,13774,14088,3392,6974,Adult,High,26243
Mumbai,Goa,Flight,Homestay,Local Cuisine,Trekking,Leisure,6,Summer,September,1,2932,Wildlife,Airline Miles,High,8450,14236,538,4777,Youth,Middle,42182
Bangalore,Kerala,Car,Hotel,Non-Vegetarian,Trekking,Adventure,11,Winter,September,1,2110,Historical Sites,Travel Discounts,Low,8923,8971,3282,8017,Senior,Middle,15821
Delhi,Jaipur,Car,Hostel,Non-Vegetarian,Shopping,Adventure,13,Winter,August,1,1106,Shopping,Hotel Membership,Low,1159,9629,2533,5206,Youth,Middle,47590
Kolkata,Varanasi,Car,Hotel,Non-Vegetarian,Trekking,Leisure,8,Monsoon,February,5,781,Adventure Sports,Travel Discounts,High,4847,8931,2674,3887,Youth,Low,6378
Delhi,Jaipur,Train,Hostel,Vegetarian,Sightseeing,Leisure,6,Summer,October,3,688,Historical Sites,None,Medium,11169,11335,4533,9912,Adult,Middle,9417
Delhi,Shimla,Flight,Hostel,Local Cuisine,Cultural Events,Work,11,Summer,September,3,1679,Historical Sites,Hotel Membership,Low,13712,6727,4245,2472,Senior,High,13671
Bangalore,Bangalore,Car,Hostel,Budget Meals,Cultural Events,Work,4,Autumn,June,6,84,Religious Sites,Hotel Membership,Low,5306,8770,2706,8222,Senior,Middle,11352
Kolkata,Kolkata,Bus,Resort,Budget Meals,Cultural Events,Leisure,13,Monsoon,March,4,1786,Shopping,Travel Discounts,Low,3148,19870,2372,2136,Senior,Middle,47824
Bangalore,Kerala,Flight,Resort,Local Cuisine,Sightseeing,Work,6,Summer,September,4,1610,Shopping,Travel Discounts,High,14916,17941,4874,5672,Adult,Middle,17465
Kolkata,Varanasi,Train,Resort,Non-Vegetarian,Shopping,Adventure,6,Monsoon,September,5,245,Shopping,Travel Discounts,High,8370,11966,2628,6414,Adult,High,9940
Delhi,Jaipur,Flight,Hotel,Vegetarian,Sightseeing,Work,5,Monsoon,June,1,1736,Shopping,Hotel Membership,Medium,12029,17726,4493,7822,Youth,Middle,31634
Kolkata,Varanasi,Train,Resort,Vegetarian,Trekking,Adventure,3,Monsoon,August,6,643,Religious Sites,Airline Miles,High,6136,11383,2886,4882,Senior,High,30586
Kolkata,Varanasi,Bus,Resort,Budget Meals,Trekking,Work,7,Autumn,May,4,1537,Beaches,Hotel Membership,Low,13283,3623,2225,3234,Adult,Low,19267
Bangalore,Bangalore,Flight,Homestay,Vegetarian,Sightseeing,Adventure,11,Winter,February,4,2296,Religious Sites,Airline Miles,Low,7387,11137,2378,4553,Senior,Middle,39807
Mumbai,Goa,Flight,Hostel,Vegetarian,Relaxation,Leisure,13,Autumn,November,2,587,Historical Sites,Travel Discounts,Medium,9987,15576,1606,9335,Youth,High,20414
